ss	seed	unique	Min Helix	Generation
.....(((..((((.(((((.((.((((((((((.......(((..((((..(.((......)).)..))))(((.((.((.((((...........)))).)).))))))))......)))).)))))).))))))).)))).)))...	linearbp	675	1	MFE
...............(((((((........))))...((.(((.....))))).............(((((...(.((((((((((.((...((.((((.((........))))))..)))))))))))))).)....)))))...))).	linearbp	0	1	MFE
.(((((((...(((((...)))))...((((((.((.(.((.(((((........(((....)))........))))))).).)).)))))).))))))).((((...(((((......)))))..))))....................	linearbp	1863	1	MFE
..(((((((((..(((((((((..(((...)))..))))))((((.((((((((((...(((.(....).)))..)))))))))))))).((((..(((......)))...)))))))))))))))).......................	linearbp	0	1	MFE
((((((((((..((((((..........(((((((........))))))).................)))..)))..))).).)))))).....(((((((((..(((.((((...)))).))).((((......)))))))))))))..	linearbp	1857	1	MFE
(((((.(((.....)))...)))))...(((((((((.(....)))))(((((.....)))))......((((...))))....(((((....))))))))))...(((.((((((((((((........))).)))))).))).)))..	linearbp	243	1	MFE
.((((........(.((((.......)))).).((((((...(((((.((.((.(........).)))))))))..))))))((((..((((((.(((((....((((...)))).....))))).)))))).....))))...))))..	linearbp	0	1	MFE
...(((..(((.(.((((....)))).)...)))..))).....(((((.(((..(((((...((((((.(((.(.(((.....)))).))).)))).))....)))))))).)))))..((((((((.(((.....))).)))).))))	linearbp	1013	1	MFE
((((((..(((.((...(((.(..(((((..............)))))..).)))..)).))).))))))(((.(((((.(((((((.......((((((......)))))))))))..)).))))).)))...................	linearbp	1157	1	MFE
.(((((.((((((((..((((((..((((.(((...((((....))))....))).))))..))))))...(((((.((............))))))).((((....)))).......)))))))((((.........))))).))))).	linearbp	0	1	MFE
........................((((.(.(((...((((((((((...(((.(((((((...((((........))))...))).)))).)))...)))..((((.(((((...))).)).))))..)))))))..))))))))....	linearbp	1636	1	MFE
((.((((.(..((((...((.(.((((((((((....)))))...))))).))).))))..).)))).)).........((((...(((((....((....))....)))))....)))).((((........)))).............	linearbp	687	1	MFE
.(((((....)))))(((........(((.((...)).)))(((((((((((((....))))))..((((((((((((....))))))).)))))(((.(.(((....))).).)))..((....)))))))))...........)))..	linearbp	713	1	MFE
.(((....(((((........((((...........(((((...((.(((((((((((((.(.((((((((..(((...)))..)))..))))).).)))))))..)))))).))..)))))..))))........))))).....))).	linearbp	1663	1	MFE
....((((((((((((...((((((.(......).)).))))((((((((.....(((((((((...........)))))))))........))))))))...((((...))))))))))))).......)))..((((....))))...	linearbp	775	1	MFE
...((((.((((((((((((((.......))))......(((..((((........))))..)))..........((((((((........))...))))))...(((........)))......))))))).))......).))))...	linearbp	264	1	MFE
...(((((....)).))).....(((..(((((.((..(((.(((((...(....)...))))))))..))..((((((.((.(((.((((((.....)).))))))).))))))))...(((((((......)))))))))))).))).	linearbp	0	1	MFE
((((((((..((.....))...)))).(((((((...((((..((.((((((((...........)))))).)).))..))))))))).))(((((((...((((.(((...))).))))......).))))))....))))........	linearbp	226	1	MFE
..............(((((((...((((((......))))))...........(((((((.((((((((..((...(......)...))...))))))))...)))))))((.(((.............))).)).))))))).......	linearbp	0	1	MFE
((..(.((((.((((.......((((......((((((((...)))))))).......)))).....)))).)))).)..))(.(((((((......))))))).)...((((.((.(((((((((.....)))))).)))..)).))))	linearbp	0	1	MFE
(.(((((..(((.....)))((((((..............))))))((((((.(((..(((...)))..)))))))))...((((..........))))))))))..........((((..((......))..)))).............	linearbp	690	1	MFE
..((((.(..(((((....((((((.......((((......)))).))))))((((((...)))))).(((((....)))))..(((...........))).)))))..).)))).(((((.....)))))...(((....))).....	linearbp	1191	1	MFE
(((..((((......))))..)))...((.(.((((.(((((....)))))((((....))))..((...(((..(....(((((((((((..((.......))..))))))....)))))....)..)))...)))))).).)).....	linearbp	0	1	MFE
((((((......))((((..((((((((((...(((((((.....))))..))).....)))))((((((((((....(((((.(.......).)))))..))))))))))......)))))..))))....))))..............	linearbp	171	1	MFE
.(((((((.....(((((((....(((...(((..((((((((..(((.(.....).))))))))))))))...)))....)))))))(((((...))))).)))))))(((((..(((....)))...........)))))........	linearbp	364	1	MFE
..(((((....))))).((((....(((((.((((((.........((((((..((((((......................).)))))...)))))).......))))))...(((((....)))))......)))))..)))).....	linearbp	1009	1	MFE
.((((..((.(((((((((...((....))...))))))))).))...(((((((((.(..(((((.....))...((((.(((((....)))))..)))).)))..).)))))))))((((........)))).....)))).......	linearbp	592	1	MFE
((((((.(.((((((.......((((((.((((........)))).)))))))))))).).))))))((((......))))...........(((.(((((((((............))))))).))..)))..................	linearbp	1770	1	MFE
.........(((.(((((((........((((((..((.(.(((......))).).))))))))...((.(((((..((...((((((.....))))))...))....))))).)))).)))))...)))((((((....)))).))...	linearbp	458	1	MFE
...(((((..((((((((.(((.(((..((..(((((((.(.....).))..))))).))..))).).)).))))))))..))....)))............................((((((((((.....))).))....)))))..	linearbp	0	1	MFE
.......((.((.(((((..(((((((.((((((....))))))..))))...(((.((..(.((((.((((....(((..((((......))))....)))..)))).)))).)...)).)))...)))))))))).))..........	linearbp	0	1	MFE
(((.((((((((....((((.(.((...)).).))))))))).)))..)))...((((.((((((((((...)))))))))..).)))).((.((((.(((....(((((.......)))))..((((.....))))))).))))))...	linearbp	0	1	MFE
((((((((.....((((((......((....))))))))((((..(........)..))))...((((..((...(((((((...)))).......))).))..)))).))).)))))((((...((((((.........))))))))))	linearbp	198	1	MFE
.........((((.((.((((.(((..(((((((.........((((.(((.(((........)))...)))..))))...(((((....((((((...))).))).......)))))..)))).)).)..)).).)))).)).))))..	linearbp	776	1	MFE
.((((((.((.(((((((((......))))))(((((...)))))...(((.(.(((((.((((..((((...(.((.............(((((....))))))).).))))))))))))).).))).......))).)).))))))..	linearbp	1428	1	MFE
.((.((.(((((((((.....))))))))).))..)).......(.(((((((((..((..((((((..(((((.(((((.......((((...)))).........))))).)))..)).))))))...))..))..))))))).)...	linearbp	0	1	MFE
((((((....(((((((.......((((.....))))........)).)))))))))))........(((..((((((((..((((.(.((((..(((........).))..))..))...).))))...))))))))..))).......	linearbp	0	1	MFE
...((.((((....((((.(.((..(((...(((..(((.(((..((((..((((....(((((.....))))).....(((.............)))..........))))..))))))))))..))).))).))).)))))))).)).	linearbp	452	1	MFE
.....(((((.(((..((((((.((((....)))).((((((((.......))))))))((((.(....((((.(((((..((((.......))))...))))))))))))))....))))))..))).))).))(((...)))......	linearbp	1033	1	MFE
....((((((.....(((.((((((((.(.((((((((((((...)))))...))))))).)))))))))..)))................((((((((((...))))))))))(((..(((...)))..)))..)))).))........	linearbp	1767	1	MFE
.......(((((.(((....(((........)))..))).)))))((((.....(((((..((((((....(((((....((((.....))))...)))))....))))))..))).))...))))..((((((.(......).))))))	linearbp	1165	1	MFE
........((.((((((......)))).)).)).........((((...(((...(((.((....)).)))...)))....))))..(((((((((((.(.(....).))))))..(((..........)))(((....)))))))))..	linearbp	0	1	MFE
.............(((((((..........(.((((((.(.....).)))))).)..........)))))))..(((....(((((.........((((((((..(((..((......)))))..)))))))).)))))..)))......	linearbp	0	1	MFE
........((((((((.(((((..(((((....)))))...(((.((.....((((.(((......))))))).......)))))......(((....((((((.(.....).))))))........)))))))))))))))).......	linearbp	111	1	MFE
..(((((.(((.(((...((((((((...(((((((.(....).)))))))((((((.(((((((......)))))))))..))))((...((((....))))....))...........)))).))))...)))))).)))))......	linearbp	0	1	MFE
(((((........((.((((.(.(((((..((((((((((......))))).)))))..........))))).).)))).))........))).))......(((((......((.....))......)))))....((.(....).)).	linearbp	0	1	MFE
............((((((.(((..(((((.(.(((.(((((((((((.((....)))))))...))))......))))).).)))..((..(((....)))..)).........))..))).)))))).((..(((((...)))))..))	linearbp	378	1	MFE
........(((((.......)))))..((.(.(((((.((((.............))))...))))).)))(((...((((((((......((.(.((((((...((....))...))))))).))....)))).))))...))).....	linearbp	648	1	MFE
((((((..((........))..))))))....((((..((((.(.(((.((..((((.......))))..............)).))).)..))))..)))).((((.((((((...................))))))...))))....	linearbp	0	1	MFE
.(((((((.(((..((((((((.((.(((....(((((((.(..((((....)))).).))).))))...)))...)))))))))).)))..)))))))((((......(((((.((((((.........)))))).)))))))))....	linearbp	0	1	MFE
