ss	seed	unique	Min Helix	Generation
((.((.((((((..(((.(((........))).)))..((((..(((.(((((.((((....)))).))))..).)))..)))).......((((((((......))))))))...))))))))..)).((((.(((...))).))))..	uniform	0	1	MFE
.((((((.(((..((((((.......))))))..((((.(........).))))..((..((...))..))((((....))))((((((((.............))).)))))......)))))))))(((((........))...))).	uniform	0	1	MFE
.(((((((.((((((.............)))))).....((((.(((.....................))).)))).....((.....))...)))))))..(((..(((((.(((((...........))))).).)))).....))).	uniform	0	1	MFE
....................((((...(..(((.(((.((.((.(((..((...(((((......(((((.....(((.(((......))).)))........))))))))))....))..)))...)).)).))).)))..)..)))).	uniform	0	1	MFE
(((......)))..(((...........)))......((((((((((..((.((((((....((((((.....))))))))))))))..))))))))))...(((((((((..((((((.(.((((...))))).)))))))))))))))	uniform	2	1	MFE
(((..((((....(((((((...........)))))))....))))(((((((((.(......).))))).)))).......(((.(((((.....)))))....(((((....))))))))((((((.((.......))))))))))).	uniform	1	1	MFE
(((.(((.((.(.......((((((((((....)))))))))).......).)))))))).((((((....((....(((.(((((................)))))......(((((......))))).)))....))...))))))..	uniform	0	1	MFE
......(((..((((.(.(((((((.((((.......((((((.((((....((((.(.((..((((........))))..)).).))))..))))..))))))........((((...))))..)))).))))..)))).)))).))).	uniform	1	1	MFE
.((.(.((((.(((((.(((....(((((......))))).(((((.....((((((.((((.....)))).)).))))((.(((.((((((.....)))))).))).)).......)))))....))).))))))))).))).......	uniform	0	1	MFE
....(((((................)))))(((......))).(((((((((((..((((((...(((((.....)))))...(((....(((.((((((.......)))..))).)))....))).))))))..))))).).)))))..	uniform	0	1	MFE
((((...(((((((.(((........)))))))((((((..((((.(((...............))).))))..))))))...............))).))))..(.(((((((((((..((......))..)))...)))))))).)..	uniform	0	1	MFE
((((..........))))........(((((((((.(((.(...((((....))))...((.((((((((((((((((..(((((...)))))....)))))).............)))))))))).))...).))).)))))))))...	uniform	1	1	MFE
...((((((((.....(((((.((.((......)).)).)))))..)))((((..(((.((...(((((..(((.....))).))))).)))))...))))))))).((((.(((((.((((...........)))).)))))..).)))	uniform	0	1	MFE
........(((((......((((((((((..((((.(.((.........)).))).))..))))))))))(((....)))(((((.((...((((((..((((.........))))....)))).)).....)).))))).....)))))	uniform	0	1	MFE
...(((((((.....)))))))..((((((((.......((((((((((..((((((((.....)))))))).)))))))))).((((((.(.((....)).)...)))))).)))))))).......(((((.(......).)))))..	uniform	10	1	MFE
.......((((.(((((((..((((....))))..)))).(((((....((((((((.(((.....))).)..........((((((.((((.........)))).)))))))))))))))).))(((....))).))).))))......	uniform	0	1	MFE
........(((((.(((((.(((((((...(((.(((((((((.......)).)))))).........).)))...)))))))))(((......)))..(.(((((((.......))))))).)........))).))))).........	uniform	0	1	MFE
.......(((..(((((((.......(((.(((((....((((((((...(((((....(((((...))))).....)))))..)))))))))))).).))).((..((((((((........))))))))..))..)))))))..))).	uniform	15	1	MFE
......(((((.(((((.(((..((((..........).))).))))).)))....((((...))))...))))).((((..((.(((.((.....)).)))))........((((((((((....))))).)).)))...)))).....	uniform	0	1	MFE
((.(...(((.....))).)))......(((((.(((.....(((((..(((((((((.....(((......)))........((.((((....)))).)).(((((.....)))))..)))))).)))..))).))....))).)))))	uniform	0	1	MFE
.((((((((((.((((........).))).)))).....))))))...............(((.((((((...(((((..((((((.((..((((...))))..)).))))))..))))).....))))))..)))..............	uniform	15	1	MFE
.......(.((((.((((........)))).)))).)...........(((((((....)))...(((..(((((((....)))))))..)))..........(((((...((((...........))))....))))).))))......	uniform	3	1	MFE
.......(((((....)))))...(((...((((((......)))))).)))......(((((((((((((((.(.(((....)))).))))))...........(((.(((((((......))))))).)))....)))))))))....	uniform	13	1	MFE
.......(((.((.(.(((....(((((((.((((.(((.....)))..))))..)))))))))).).)).))).......((((.....((((((((.(((..((...............))..))).)))))))).....))))....	uniform	19	1	MFE
.((((((...(((((((......(....)......))))))).)))))).........(((((....)))))(.(((((((((((.(.....(((((.(((...(((((....))))).))).)))..))...).))))).)))))).).	uniform	0	1	MFE
.....(((.((((((((.(((.(.(((....((((.((((((......)))))).(((((...........)))))..(((.(((...........))).)))))))...))).).))))))))))).)))......((((...))))..	uniform	0	1	MFE
..((((.((....((((.(((.(((.(((((..(((.(((((..((((....)))).....((((...))))))))).))).(((((.....)).)))....))))).))).))))))).)).))))......(((.(......).))).	uniform	0	1	MFE
.....((.(((((((.(((((((((.........)))))).).)).))))))).))((((((((((((((((.(((.((.(((((......))))))).)))..))).)))).....))))))..)))......................	uniform	0	1	MFE
......((((...))))..((((..((((......((((....)))).....(((.((((....)))).))).((((((..(((..(..((((((........))))))..)..)))..))))))......)))).))))..........	uniform	1	1	MFE
.......((((((.(.(.........).).)))))).(((((.(..((((....(((((....)))))))))..))))))..((((((.(((((.......((((.........))))))))).)))))).((((((...))))))....	uniform	0	1	MFE
...((((((((((..(((.((((.(((((((.....)))))))....))))...)))(((((((.(((((((........).))))))..))))))).((((.......)))).(((((....))))).....)))))).))))......	uniform	1	1	MFE
.((((....(((((..(((((.....)))))))))).......))))......................(((((..((((....((((..((.((((((..((.(((.(......).))))))))))).))...))))))))..))))).	uniform	2	1	MFE
.((......))(((..((((((.((((((.....(((((((((...))))(((((...))))).....))))).((((.......((((.(((.(.((((......)))).).))).))))...))))..))))))))))).)..)))..	uniform	0	1	MFE
((......(((((.((.....)))))))......)).((((..((((...))))..))))(((((..(.........(((((........))))).........)..))))).((((.......))))......((((((...)))))).	uniform	0	1	MFE
(((.(((..(.(((.((((..(((((..(((((....(((..(((((((((((.((....)))))).)).......................)))))))))))))))))).)))).))).)..((((......))))..))).)))....	uniform	0	1	MFE
...((......))...(((((((......((((.(((.(..........(((..(.(((((.(((.((((...)))).)))(((((.......)))))..((((((.....))))))....))))))..)))).))).)))).)))))))	uniform	0	1	MFE
..((((...((((..((((((((.(((......((((((.(((((((..(((..((((.....(((.(((......)).).)))))))...)))..)))))))...))))))...)))..))))))))))))....))))..........	uniform	1	1	MFE
..(((((......)))))..........((.(((.(((((............((..((((.....))))..)).(((((..(((.......))).)))))((((((..(((........)))..).)))))...))))).))))).....	uniform	0	1	MFE
((((((..(((.(((((.....(((((......)))))(((((((.(((((..........)))))..))))))))))))))).....)))))).(.(((((.((((.....(.((((((.......)))))).)...))))))))).).	uniform	0	1	MFE
(((...(((...(((....))))))...))).....(((((((..(((((((((.......(((..(((..(((.....)))..)))..)))......)))))))))..)))))))..........(..((((...))))..).......	uniform	0	1	MFE
............((((((((...(((((........)))))..((((...............)))).(((.(((((.......))))))))...............))))....))))..((.(((((......).))))))........	uniform	1	1	MFE
.(((((...((((((..((((((((((.(((.....)))...(((..(((((.(((.(....).))).)))))..)))........)))))..((........))....((((...))))......)))..))..)))))).)))))...	uniform	0	1	MFE
((((..((.......((((..(((((...)))))...))))))..))))........((.((((((((((((((((((((....))))))((..(((..((((((.(.....).))))))..)))..)))))))))).)))))).))...	uniform	0	1	MFE
.((((..((((((((......)))).)))).((((((.(..(((((((((...)))))......((((.((.((....)).)).)))).....((((((...)))).))..((((....))))..))))...).))))))))))......	uniform	0	1	MFE
(((((.((((((..((((((.((.....))....))))))................(((.(((.(.((((......)))).)))).))).))))))...((((.........)))))))))....((((((.......))))))......	uniform	1	1	MFE
.......(((((............((((...(((((.(..((((((.(((.((((.((((...))))))....(((((((((.(........).))))))))).)).))).))))))..).)))))....))))...........)))))	uniform	3	1	MFE
..(((((((...((((.((((.((((.((................)))))).))))))))))))))).......((((..((....)).))))((((.......))))...........(.(((((((((.........)))))))))).	uniform	0	1	MFE
.(((...(((.(.(((((((((.((..(((..(((((.((((((.(......).)))...................((((.(((....)))))))..))).)).)))..)))..)).).)))).........)))).).)))))).....	uniform	0	1	MFE
.........((((((...(.(((((((..((((...)))).((((((((.((....)))))))))).(((...((((...))))....))).....))))))).).))))))...((((((((((((........))).))).).)))))	uniform	0	1	MFE
((((....(((.((((...((((((.........((((((.........))))))((((((((((((..(...)..))).)))))(((..((((........))))..)))..)))).))))))....)))))))))))...........	uniform	0	1	MFE
..((((.(......)..))))..((....)).....(((((((...(((((.((....)))))))(((((..(((.(((((((((((...(((((.........)))))))))))))........))).)))..)))))....)))))))	uniform	0	1	MFE
(((.(((((......((((..((((((......))))))))))...(((.....((((.(((..(((((.(...(((((((......)))))))...).)))))..))).))))....))).))))).)))...................	uniform	2	1	MFE
.((((((........(((((.....((.((((((((((((..........))))))))((.....))(((((.......)))))((((..(........)..)))).))))..))........))))).........)))))).......	uniform	0	1	MFE
.(((((.(((((((..((((((((...((((((......(((((((...)))))))((((..........)))).....)))))).)))...))))).......((.(((((....)))))))....)))))).).))))).........	uniform	2	1	MFE
..(.(((((.(((((((.((((......))).).)).)))))))))).)..............((((..((((.((((((((((((.((....)))))))))..........))))).))))))))(((((((...))))))).......	uniform	0	1	MFE
(((((...)))))..........((.(.((.(((.((((((..((((((((((.((..(((.(((((..(((((..............)))))....))))).)))..)).))).))).)))).......)))))).))).)).).))..	uniform	1	1	MFE
......((((...(((((.(((((((..((((((((((.........)).)))......)))))))))))).)).)))....))))(((((......((((.((......))..))))((((....(.....)...))))....))))).	uniform	0	1	MFE
.((((((........((((((....((((((.(....((((.(....(((((.....)))))...))))))))))))..((((....))))..........(((.((...)).)))...))))))........))))))...........	uniform	0	1	MFE
(((((((((..((.(((((((...........)))))...)).))..))))))))).((((......((((((.(((((((((....(((.(.((....)).).)))..)))..))))))))))...))......))))...........	uniform	1	1	MFE
.............(((......(((.(((((...(((.(((.((...((((..((((....).)))..)))).........(((.(((.....(((((....)))))))).))))).))))))...))))))))......))).......	uniform	0	1	MFE
.((((((((((((....)))((((..(((((((((.(((.....))).)))(((((...)))))...))))))))))..(((((.((((.(.(((....))).).)))).......)))))...))).)))))).....(((.....)))	uniform	0	1	MFE
((((((((....(((((.(.((((.((...........)).)).)).).))))).....(((((......((((((....))))))....)))))........)))))))).......................................	uniform	28	1	MFE
(((((((..((..(.....)..))..)))))))..............((((((((......(((((((...)).)))))...........((((((..........))))))(((((...............)))))....)))))))).	uniform	0	1	MFE
.....(((((..((..((........))..))..))))).....(((((((((......((((((.(((.(....).))).))))))((((((...))))))..((.(((.(((((....))))).))).))...))))))).....)).	uniform	0	1	MFE
.....((((...........))))((((...(((((((((((....(((((((((((((....)))....))))..)))))).))))).))))))))))(((((...))))).((((((.((.(....).)).))))))...........	uniform	0	1	MFE
...(.((((((....((((((((...........)))))))))))))).)..((((((.........(((((.(..((((((...(((((((.((((............)))).)))))))....))))))).)))))))))))......	uniform	0	1	MFE
.((((..(((.(.(((.((((((((((.(((.((((....((((((.((((..((((((((.((.(((........))).))))))))))))))..))))))))).).)))))))..)))))).))).).)))....)))).........	uniform	1	1	MFE
((((.((....(((((..(((...((((.(((.(.....).))).))))))))))))....)).))))((((((..((((((.....(((...((((.........))))......)))..............)))))).))).)))...	uniform	0	1	MFE
..........((((((.(((..((((((.(((((.....)))).).)))))).........((((.(((...(((((.........)))))...)))))))))))))))).(((.((((.(((.(((........))).)))))))))).	uniform	6	1	MFE
...........(((((((....((((...(((....)))..........((........)).(((((...((.(......).)))))))..))))....)))))))((((((..((.(((((....))))).))...)))))).......	uniform	1	1	MFE
((((((.....))))))......(((((.((..((((.((...)).))))..)))))))....(((.....((((.(.(((((...((((((((.(.((.((........)).)).))))))))).))))).).....))))....))).	uniform	0	1	MFE
...((((((..........((((....))))(((((.......)))))))))))................((((((((((((((((..(.((.....(((((.(((...))).)))))..)).)..)))))..))))))..)))))....	uniform	5	1	MFE
((((((....((((((....((((((((((....))))).(((.(((.(....)))).)))..((........))(((...))).(((((.(((((((....))))))).)))))........))))))))))).......))))))...	uniform	0	1	MFE
..(((.((((..(((((..........)))))..((((.(((...)))..))))((((((((((((((.((((((........)))))).......))))))).)))))))..((((((.(...).))))))........)))).)))..	uniform	1	1	MFE
...((((.(((((.(((((.(((..((........))..)))...((((((((((((.....(((...(.....)....)))))))).......))))))).......).)))).))))))))).(((....)))...............	uniform	0	1	MFE
.......(..((((.....(.(((((....))))).)))))..).........((((((....((((((.....)))))))))))).((((.((......))))))(((((((.((..(((........)))....)).))).))))...	uniform	0	1	MFE
(((....))).(((((.((....(((((((.(((....)))....)))))))...(((((((...(((.....)))....)))))))(((((..(......((((((........)))))).....)..)))))...)))))))......	uniform	0	1	MFE
.((((((.....((((...(((..((.((((((((((((((...)))))..)))))))))))..))).....))))...............(((((........))))).))))))(((.(((((.....)))).).)))..........	uniform	2	1	MFE
............(((.((.(((((((((..((((....)))).....))).((((..((((((((((((.....))))))))))..))..)))).((((....))))..)))))).)))))..(.((((((....)))))).).......	uniform	0	1	MFE
.(((..(((((((((.............))).)))))).................((((((.....))))))..(((.(((((((...))))))).)))((((..........))))(((((...(((......)))...).)))).)))	uniform	0	1	MFE
.((..(((((.........)))))..))...................((((.((((((.(((.........((.((((((....(.((.(((((......))))).)))..)))))).))..........))).)))))).)))).....	uniform	8	1	MFE
.....((((((((.(((.(((((..(((((....(((((((((....))))))).))..))))).....)))))..))).))))))))..................((((..(((.((.(.((..((....))..))))).)))..))))	uniform	0	1	MFE
......((((((....)))))).((((...)))).(((((((((((((((((((((..((((((.((.......)))).)))).))).).))..))))).))))))))))..(((((.....((..(.(((...))).)..))..)))))	uniform	0	1	MFE
(((((((((........))))))))).(((.((((.((((...........(((((......)))))..(((((..(...((((.((.((........(((........))).)).)).)))).)..)))))))))..))))))).....	uniform	2	1	MFE
..((((((......))))))...(((((......)))))....((((((....))))))....(((..(((((.....(((((((.(.((((.((((............).)))))))...).)))))).)......)))))))).....	uniform	0	1	MFE
((((((((...(((((........((((...))))..)))))..)))))))).(((.(((((((..((((...((.(..............).)).)))).))))))).)))...............(((((..........)))))...	uniform	0	1	MFE
(((((((.(((((((...((((..(((((.(((...))))))))..))))...........((((((...))))))...)))))))........))).))))....(((.(((((..((((.(....).).....)))..))))).))).	uniform	0	1	MFE
((((...((((((((.(..(((((((........)))))))..).))).)))))......)))).(((..((((((((......(((..(((...)))..))).......))))))))..)))(((((((...)))))))..........	uniform	4	1	MFE
(((((((((...(.(((((((..........))))))).))))))))))...((.((((((((((((((....)))))))........)))))))))(((((((.................((((((.(((...))))))))))))))))	uniform	1	1	MFE
((((((((((..((((.....))))....(((((((......))).....))))...((((((.(((..(.((...........)).)..))))))))).....))))))))))......(((((((.....))))...)))........	uniform	0	1	MFE
.((.((((.....)))).)).(((.(((((....((((((((.(((.((.((((.((((..(((.(((((((((.(...(((.....)))).)))))))).).)))...)))))))).)))))..)))...)))))..)))))..)))..	uniform	0	1	MFE
((((...(..((.(((..(((.(((((((.(.(((........))).).).)))))).)))..))).)))..))))(((...(((...(((.....))))))...))).(((((((..((.(((....))).))....))))..)))...	uniform	0	1	MFE
...(((((((......)))))))...(((((...((((((((((((((((((((........)))))))))))..((((..((((.(((((....)))).)...)))).........)))).......))))))))).))))).......	uniform	12	1	MFE
..(.((((...((((.........(((((((..(((((((((((.......))))......(((.((((...)))))))....(((.......))).............)))))))...))))))).........))))....)))).).	uniform	0	1	MFE
(((((((...(((...((((((.(((((((..((.(........).))..))))).)))).))))(((((....))))).)))...)))))))..(((.(((.....(((...((((((......))))))...)))..)))))).....	uniform	0	1	MFE
((((((..(((.(.(((......(((((.((((((((((((.........)).)))).))))))...))))).((((..((((((..(((.((((((.....)))))))))))).)))...)))).)))..).)))))))))........	uniform	0	1	MFE
(((((.(((((.((((((......)))))).)))))........((.(((((((((...(((((....))..)))..))))))))).))...((((.((((..((((((..((...))...)))))).))).).))))))))).......	uniform	0	1	MFE
(((..(((((.((((...(((....)))..(((((((...(((..(((...((((((.(.(((.....)))).))))))))))))..)))))))..(((((((((.(((...((...))))).))).)))))))))).)))))..)))..	uniform	0	1	MFE
...((((((...(....)...))))))........((((((((((..(((((((.(..(....)..).)))))))(((...........)))...))))).((((.......))))(((((.((((....)))).)))))..)))))...	uniform	0	1	MFE
(((((((((((((.((((((((..(.(((((....((((((((......))))))))..(((.((((((.......)))))))))......))))))..)))))))).)))).....))))....((......)).......)))))...	uniform	0	1	MFE
(((((((..((((.(.((((...........(((((((((((....(((.....)))...))))))))))))))).)))))....)))))))......(((((((.(((((...............)))....)).))))))).......	uniform	14	1	MFE
((((((((((......(((....))).......)))))).))))....(((((((((..((((((........(((.((((((..(((((...))))).))))).).)))....)))))).)))))))))....................	uniform	18	1	MFE
(((...((.(((((....(((((....)))))..))))).))....)))...(((((..(((((((..(.((((((((.....((........)).....))..)))))).)..))))).)).))))).((((......)))).......	uniform	1	1	MFE
.((.(....)))...((((...(((((.....((..((((((.((..(((((.....................))))).........(((((...)))))....)).)))))))).....)))))...))))..((((......))))..	uniform	0	1	MFE
((((.((......)).)))).((.(((((.((((((........((((((....))))))((((((...............))))))((((.((.(((.(.....).))).)).))))..).)))))..))))).)).............	uniform	0	1	MFE
....................(((((.....((((......(((((.......))))).....))))((((((((..(.((...)).)..)))..)))))((.(((((...(((((.......))))).....))))).))....))))).	uniform	2	1	MFE
.((((.....).)))((((((.......(((((....))))).....)))))).........((((((..((((...((((....)))).))))....((((((....))))))..............(((((....)))))))))))..	uniform	0	1	MFE
((((..(((.(((......(((.((((((((.(.((......)).).)))))))).)))(((((.....))))).((((((.....))))))......))).)))..))))...((((.((.((((..........))))..)).)))).	uniform	11	1	MFE
.........(((((..((((((((...))).)))))........(((...((((((......))))))...)))..((((.(....(((((.(((..((.(......).))..)))...)))))...).))))...........))))).	uniform	0	1	MFE
.....(((((((((..(((((.(((........)))..)))))..)))))))))..((((.(((.((..((.((((((....)))))).)).........((((.(((.(((.....))).)))))))))))).).)))...........	uniform	0	1	MFE
((((((((........))))))))...(((((.(..((((.((((((((((...((((((....(((((....)))))...))))))...)))))))..)))....))))..))))))..((((.((((..((....)).)))).)))).	uniform	7	1	MFE
..(((((...(((((((((....))))).((.(((((((......))))))).))..........(((.((((.(((.(.(((.((((......)))))))).))))))).)))...............)))))))))............	uniform	0	1	MFE
......((.(..(((................((((..(((((((((..(((.((.(......).))..)))..))))...)))))..)))).(((((.................)))))))).).)).((((((.......))))))...	uniform	0	1	MFE
.....................((((((((((((....(((.(((..((((..(((((((...))))))).))))...(..(((...(((((...))))))))..)((((....)))).))).)))..)))).))))))))..........	uniform	0	1	MFE
.......(((((((.((((....)))))))).......(((.(......).)))....(((((......)))))........((((((((.......))))))))(((...(((((...((((....))))..))))).....)))))).	uniform	0	1	MFE
((.((((((....))))))))((((((..(((((.(.(((((...)))))...).)))))...))))))...........(((.((..((((((...........)))))).)))))((((..(((((((....)))))))..))))...	uniform	2	1	MFE
............((((((......))))))((.((((((((((((..(.(((.......))).)..))))))....)))))).))........(((((....)).)))((((((........(((((((.......))))))).))))))	uniform	1	1	MFE
...((((...(((((....)))))....)))).(((((.(..(((((((((...))).))))))..).)))))....(((((.((((.((.(((.((.....(((.......)))...))))).))))))..))))).............	uniform	0	1	MFE
........((((...))))((((.((.((((((((((....))))).(((...........))).....((((((((....))))))))(.((((((....)))))).)........))))).)).))))((((.(((....))).))))	uniform	0	1	MFE
.(((((((((((((......))))))))....(((((((...))))))).)))))........((((.....((..((((.((..(...........)..))..))))..))....))))......((((..((((...))))))))...	uniform	0	1	MFE
...(((((((((...((..(....)..))..)))).)).)))..(((((((((((((...((.(((((((..(...)..))).)))).)).)))))..))))))))..(((((...(((((((((..........))))))))).)))))	uniform	0	1	MFE
...((((((..(((((((((.(...((((((........((((...(((......)))...)))).......................((((........))))....))))))).)))).)))))..)))))).((........))...	uniform	2	1	MFE
..(((((.((....(((((.(.(((......((((((((......))))....(((((((((((.(((((((((.......)))))))))..)).))))..)))))))))....)))).)))))))..))))).................	uniform	1	1	MFE
.((....((((.(((...)))))))..))((((((((....(((.....(((((((((((.(((((...((.(.(((((((((.((((...))))..))))..))))).).))))))).))..)))).)))))....)))..))))))))	uniform	0	1	MFE
.(((((((((..((((((...))))))...)))).......)))))..((((((.......))).)))((((.(((.((.((..(((.((((((....(.....)....))))))..)))..))...))..))).))))...........	uniform	0	1	MFE
((((((...................))))))(((((...((.((((((((((....))))..)))))).))(((((((.............(((.......)))......(.((((((........)))))).)..))))))))))))..	uniform	0	1	MFE
................((((((((((((((((.(((((.((........)).)))))))).(..((.((((.(((..(((((.((((((..............))).))))))))..))).)))).))..).).))))))))))))....	uniform	0	1	MFE
........(((((.......)))))(((((......(((.(.(((((((.......((((((((.((................))))))).)))........))))))).).)))(((..............))).))))).........	uniform	0	1	MFE
.((((.....)))).....(((.((((.((((((((...))))..(.((((((..((((.....))))...)))))).).((((......))))((((.......)))))))))))).))).....((((...((((....)))))))).	uniform	0	1	MFE
................((((((.......((((.((((.........)))).))))((((((..........))))))...((.(((((((....((.((((..(((((....))))))))).))....).)))))).))))))))....	uniform	3	1	MFE
.(((((..(..(((((.((..(((((.((((((.....((((((....))))))..)))))).)))))((((.........)))))).)).)))..)..)))))......(((((((........)).)))))(((((......))).))	uniform	0	1	MFE
((((((((..(((.....)))((((.((........)).)))).(((.((((((((.(.....).)))))))))))...(((((.((((((.(((((((((.....))))).))))))))......)).))))))))..)))))......	uniform	1	1	MFE
..........(.(((((.((...((((.......))))...)).))))).)....((((((((((((.((..(((......)))..)).))))).((((((..((((...((.....))...))))..))))))......)).)))))..	uniform	0	1	MFE
......(((.(((((.((((((((.(((.((....)).)))....(((.((((((.......))))((....))....)).)))...(((((((..((((((...))))).)...)))))))..........)))))))).)))))))).	uniform	0	1	MFE
........(((.(.(..((((((((.((((..(((....)))(((.....))).(((((((((.....)))).)))))..(((((((...)))).)))............................))))..))))))))..).).))).	uniform	0	1	MFE
...((((((.....(((((..(((((((....)))))))......((((......))))))))).....))))))......................((((((((.(((((...)))))((((.(.......).))))...)))))))).	uniform	13	1	MFE
(((((((((((((.(((.((.(((((....(((..(((((....))))))))..........((((((..(((......)))...))))))....((((....))))))))).))...)))..)))).).....))))))))........	uniform	3	1	MFE
((((((((((((((((((....)))))...............((((((((.((((......))))..))))))))......))))))))...)))))...............((((((..(.............)..)))))).......	uniform	0	1	MFE
..........((..((((((((((((....((((((((...(((.((((......))))..)))...)))).)))).....)))))....))))))).....))(((((((.((((((.(.....).))))))....)))).))).....	uniform	0	1	MFE
((((..(((((.(((((((....).)))))))))))..))))..((((.((((((..((.((........)).))..)))))).)).))((((((((.(...(((.(((.((((........))))))).)))).)))))))).......	uniform	0	1	MFE
....(((((((((..(((((((..........)))))))....)))))))))(((.((((((....(((((.((((.(((....)))....(((((((.(((....)).)))))))).......)))).))).)))))))).))).....	uniform	0	1	MFE
(((((.((((((((..((((......)))).))))).)))(((((....(((((((((...))))...))))).....)))))...))))).....(((((.(.((..(((......)))..)).))))))((((...))))........	uniform	2	1	MFE
((((((((((((....))).))))..(((((.(.(((((((((...)))))))))).)))))........)))))...(((((.(..((......((((..((..((......))))..))))...))..).))))).............	uniform	0	1	MFE
........((.((((((....))))))))(((((((((.(......(((((...)))))..).))))).(((((...)))))((((.((((.(((.((...)))))))))))))((((((((..............)))).)))))))).	uniform	0	1	MFE
.....((((((((((((((((((((((((.(((......)))....)))).....))))))))...)))))).))))))..((((.((((.....))))...))))...(.((((.((((...)))).)))).)................	uniform	1	1	MFE
.......(((((..((((.((.(((((((...((((((((((((...((.((.(((.........))).))))...)))))))......)))))..(((..((........)).))))))))).).)).))))...))))).........	uniform	2	1	MFE
.((((((((((..((.(((((..(((((....)))))..)))))))..)(((......))).....(((((.(((...((((.((((..((((..(((......)))..))))...))))..))))))).))))))))))...))))...	uniform	0	1	MFE
.(((((.....(((((..(((((.....(((((...((.....(((((....)))))...)).)))))..))))).........))))).....))))).....(.(((((((...(((..(((.....)))..)))..))))))).)..	uniform	5	1	MFE
...((((.((((..(((..(..((((((((.((((((((((...(((((((((........)))..)))))).((((....)))).(((...((((...)))))))))))..)))).)).)).)).)))).)..))).))))...)))).	uniform	0	1	MFE
..(((((((..(((((.......(.....).......))))).))))).))((((((.(((.(((((........(((((((.............))))))).........))))).)))))))))..........(((((...))))).	uniform	0	1	MFE
.((((.(((((((.(..(((((((((((((((...((((((..(((((..(((((((((....))))))))))))))..))))))....((((....)))).)))).))))....)))).....)))..))))))))........)))).	uniform	0	1	MFE
..............(((..((((.((..((((.((....))))))..)).))))..)))((((..(((.((((.((((...((.(.(((((((((((...(((....)))....))))))))))))))))))..)).)))))..))))..	uniform	0	1	MFE
((((..((((((((..............(((((..(......)..))))))))))))))))).............(((((((...))))))).(((((((.(.((((.((((....)))).)))).)...))))))).............	uniform	15	1	MFE
.((((.......)))).........................(((((((((((((((((.((..(((((........)))))..))...)))))))))....((((...(((....)))....).)))))))))))...............	uniform	5	1	MFE
(((((((........)))))))....(((.....(.(((((((((((...))))........((((.......))))((((.(((((((((.....))))))))).))))........(((((....))))))))..)))).)...))).	uniform	0	1	MFE
......(((.(((.(((((.....)))))))))))........((((.....((((.((((((((....(((........)))...(((((...)))))...(((((..(....)..)))))......)))))))))))).....)))).	uniform	0	1	MFE
((.((((.(((((((((((((((((((((..(((((((((((((((.(.((...)).).)))))).)...))))))))..))...........)))).)))))))))))((((((...))))))(((....)))..).))).))))))..	uniform	0	1	MFE
.................((((((....(((((....(((((.((((((.........)))))))).)))......(((((..(....)..)))))....((((..((((((......))))))....)))))))))......))))))..	uniform	0	1	MFE
....((((.(..(.(.(((.((((.....)))))))((((.((((............((((((..((((((.....)))))))).)))).(((((.......((....))......)))))..)))).))))..).)..)))))......	uniform	0	1	MFE
((((((..(((((..((..(((...)))..((...((((..((((.(.((.((((((.((((.....)))).)..........))))))).).))))..))))...)))).)))))..))))))((((((.......)))))).......	uniform	0	1	MFE
(((.(((.(......)))).)))((((......)))).((((.....(((((((((((((((.(.((((...)))).).)))))))..))))).......))).....))))(((((.......((((.......))))....)))))..	uniform	0	1	MFE
.((((((.((((((((.....)))))..(((...))).((((((..........)))))).......))).))))))(((((.........((.(((..((((.(.......).)))).))).)).........)))))...........	uniform	4	1	MFE
....................((((((...(((..((((.(((((.((.......))))))).((((((......)))))).))))))))))))).(((((((...(..(((((((((.((...)).)))))))))..)...))))).)).	uniform	0	1	MFE
......((..((..((((.(((((((.(.....).)))))))...........(((((.((((((((.(((((.(((((((...(((.....))).))))))).)))))..)))))))).....)))))........))))..))..)).	uniform	16	1	MFE
..((((((.....))))))...(((...((((((...(((.(......).)))...))))))....))).((.((.((((((((((((((.((..((((((..((......).)..)))).))..)).))).)).))))))))).)).))	uniform	0	1	MFE
.(((((((((..(.(((((..(((..(((((....((((((....)).))))..(((((((((..(.((........)).)..)))))))))......)))))...)))))))).)..))))))))).......((((...)))).....	uniform	0	1	MFE
....((((((...((((((.((((...(((.....)))...))).(((((.((..(((.(((......))).)))....)).))))).((((((((.(((((.(......).))))).).)))))))...).))))))...))))))...	uniform	0	1	MFE
.........(((((((((((.(((((..((...(((.((((...)))))))..))..))))).))..((((((((((((((...)))))..).))))))))((.(((....))).))..)))))..))))(((((....)))))......	uniform	0	1	MFE
.((((((((...(((((((((((((.....(((((...)))))..(((......).))..(((((...(((.........))).)))))))).)))))))))).)))))......)))...........(((((((.....)))))))..	uniform	0	1	MFE
..((((......((((((.....(((.((((..((((....((.((((.(((((.((((.(.((((((((((((.....)))))))))).))).))))))).......)).))))))))))..)))))))))).)))....)))).....	uniform	0	1	MFE
...(((....((((((((((...(((((..(((.(((..((((..(((.((((........((.(.(((((....))))).)..))........)))).)))..))))))))))..)))))....).))))).....).)))..)))...	uniform	0	1	MFE
.............((((((((..((((((......((((((((.(......).)))))...)))(((((..(((.((((((((((........))))))....)))).)))))))).(((....))).))))))..))))).))).....	uniform	2	1	MFE
